"Topic","Talk","Speaker","Date","URL"
"activation","Find the Lambs, Feed the Sheep","Gordon B. Hinckley","April 1999","https://www.lds.org/general-conference/1999/04/find-the-lambs-feed-the-sheep?lang=eng"
"activation","“Behold the Man”","Keith B. McMullin","October 1997","https://www.lds.org/general-conference/1997/10/behold-the-man?lang=eng"
"activation","Some Thoughts on Temples, Retention of Converts, and Missionary Service","Gordon B. Hinckley","October 1997","https://www.lds.org/general-conference/1997/10/some-thoughts-on-temples-retention-of-converts-and-missionary-service?lang=eng"
"activation","They Will Come","Thomas S. Monson","April 1997","https://www.lds.org/general-conference/1997/04/they-will-come?lang=eng"
"Adam and Eve","Where Justice, Love, and Mercy Meet","Jeffrey R. Holland","April 2015","https://www.lds.org/general-conference/2015/04/where-justice-love-and-mercy-meet?lang=eng"
"Adam and Eve","First Things First","Richard G. Scott","April 2001","https://www.lds.org/general-conference/2001/04/first-things-first?lang=eng"
"Adam and Eve","What It Means to Be a Daughter of God","James E. Faust","October 1999","https://www.lds.org/general-conference/1999/10/what-it-means-to-be-a-daughter-of-god?lang=eng"
"Adam and Eve","Miracles of the Restoration","Jeffrey R. Holland","October 1994","https://www.lds.org/general-conference/1994/10/miracles-of-the-restoration?lang=eng"
"Adam and Eve","Lessons from Eve","Russell M. Nelson","October 1987","https://www.lds.org/general-conference/1987/10/lessons-from-eve?lang=eng"
"Adam and Eve","Adam, the Archangel","Mark E. Petersen","October 1980","https://www.lds.org/general-conference/1980/10/adam-the-archangel?lang=eng"
"addiction","Strengthened by the Atonement of Jesus Christ","Dallin H. Oaks","October 2015","https://www.lds.org/general-conference/2015/10/strengthened-by-the-atonement-of-jesus-christ?lang=eng"
"addiction","Protection from Pornography—a Christ-Focused Home","Linda S. Reeves","April 2014","https://www.lds.org/general-conference/2014/04/protection-from-pornography-a-christ-focused-home?lang=eng"
"addiction","Are You Sleeping through the Restoration?","Dieter F. Uchtdorf","April 2014","https://www.lds.org/general-conference/2014/04/are-you-sleeping-through-the-restoration?lang=eng"
"addiction","O That Cunning Plan of the Evil One","M. Russell Ballard","October 2010","https://www.lds.org/general-conference/2010/10/o-that-cunning-plan-of-the-evil-one?lang=eng"
"addiction","Becoming Provident Providers Temporally and Spiritually","Robert D. Hales","April 2009","https://www.lds.org/general-conference/2009/04/becoming-provident-providers-temporally-and-spiritually?lang=eng"
"addiction","Rise Up, O Men of God","Gordon B. Hinckley","October 2006","https://www.lds.org/general-conference/2006/10/rise-up-o-men-of-god?lang=eng"
"addiction","He Heals the Heavy Laden","Dallin H. Oaks","October 2006","https://www.lds.org/general-conference/2006/10/he-heals-the-heavy-laden?lang=eng"
"addiction","True to the Faith","Thomas S. Monson","April 2006","https://www.lds.org/general-conference/2006/04/true-to-the-faith?lang=eng"
